screen_name,created_at,hour_created,verified_blur,default_profile,default_profile_image,favourites_count,followers_count,friends_count,statuses_count,average_tweets_per_day,account_age_days
kiyoiscute,2017-10-30,0,True,True,False,75731,108820,961,5780,2.22,2602
UnionAlgerienne,2022-12-29,10,True,True,False,1065,24551,0,1075,1.5,716
Dialog_UA,2014-03-20,15,True,False,False,9889,80714,1013,322270,82.17,3922
UA_EN_TCG,2023-11-29,5,True,True,False,5,10197,9,855,2.24,381
ukraineuachina,2022-09-20,11,False,True,False,6,1637,0,601,0.74,816
SamUA2000,2008-06-02,21,True,True,False,437626,53805,186,178665,29.59,6039
UAEPM28937,2024-12-12,7,False,True,False,0,0,0,0,0.0,2
f20221211,2024-12-12,21,False,True,False,0,0,0,5,5.0,1
BrennpunktUA,2021-02-14,4,True,True,False,203456,66884,1229,121873,87.11,1399
PaperSkies_ua,2022-10-04,20,True,True,False,205,925,16,47,0.06,802
MBielieskov,2016-09-19,8,False,True,False,51651,65302,2357,7994,2.66,3008
ua0980045031480,2024-12-13,11,False,True,True,0,0,0,0,0.0,1
bing4ua,2024-10-23,15,True,True,False,11044,391,244,909,17.48,52
BORUTO_UA_,2024-02-23,19,True,True,False,3244,1454,318,1703,5.77,295
ICRC_ua,2015-02-17,13,False,True,False,1645,17874,466,3828,1.07,3588
UA_Bank,2023-06-14,12,True,True,False,4,862,1,37,0.07,549
zerogravity_ua,2012-01-17,15,False,False,False,382,12290,93,902,0.19,4715
diaspora_ua,2022-03-17,16,True,True,False,6293,1599,298,2703,2.69,1003
front_ukrainian,2022-10-17,8,True,True,False,54420,289569,155,41669,52.81,789
olddog100ua,2022-11-17,10,True,True,False,67459,29075,4338,38826,51.22,758
TDF_UA,2022-04-15,11,False,True,False,1947,120911,807,2773,2.85,974
texasactualUA,2024-08-20,16,True,True,False,160,183,56,252,2.17,116
ukraine_ua,2022-06-23,8,True,True,False,360,9053,84,3255,3.6,905
UAWeapons,2022-02-20,19,True,True,False,783,829735,31,6879,6.69,1028
VZelenskyUA,2023-07-16,10,True,True,False,439,5851,87,521,1.01,517
BlackMambaUA,2023-02-16,12,True,True,False,5690,3955,353,1261,1.89,667
CodeCampUA,2011-03-10,9,True,True,False,16001,458,434,3129,0.62,5028
uamemesforces,2022-02-23,7,True,True,False,18,365569,1,1553,1.52,1025
tbrunoUA,2015-12-09,20,True,True,False,191,79,149,426,0.13,3293
Textyorgua_Eng,2018-02-28,16,False,False,False,1355,12146,1240,2152,0.87,2481
GeneralStaffUA,2015-10-21,21,False,True,False,2440,1057656,545,20156,6.03,3342
war_monitor_ua,2017-07-13,10,True,True,False,2461,49936,245,21478,7.92,2711
MeanwhileInUA,2022-08-25,13,True,True,False,2921,2748,1375,6703,7.96,842
KatProkopenkoUa,2022-05-13,12,True,True,False,1635,28831,278,1126,1.19,946
Josh_ua_Bennett,2022-09-17,2,True,True,False,416,129,145,620,0.76,819
BringKidsBackUA,2023-09-13,8,True,True,False,818,4801,454,1195,2.61,458
Elfarus_UA,2021-12-09,13,True,True,False,16444,388,629,7040,6.39,1101
ffotila_ua,2022-02-27,19,True,True,False,27918,1369,1503,7242,7.09,1021
Tatarigami_UA,2022-11-04,22,True,True,False,7827,188533,112,5997,7.79,770
MelaniePodolyak,2022-01-21,16,True,True,False,58599,89190,1034,37199,35.16,1058
WVThunder2029PA,2022-06-09,20,True,True,False,121,360,1522,155,0.17,919
AskaPol_UAPs,2023-06-25,22,True,True,False,10449,10540,2855,8739,16.27,537
USCITIZENS4UA,2018-10-13,21,True,True,False,8290,1473,458,18384,8.16,2254
blyskavka_ua,2022-03-04,13,True,True,False,1051,144350,0,139926,137.72,1016
tyzhdenUA,2011-03-12,14,True,False,False,5285,43674,468,101209,20.14,5026
RossyUA,2015-07-21,18,True,True,False,29603,35886,497,11807,3.44,3434
BBC_ua,2011-11-17,9,False,False,False,190,610092,560,134478,28.16,4776
UAPodcast850,2022-01-08,4,True,True,False,5048,14382,176,2215,2.07,1071
nvs_ua,2022-12-06,10,True,True,False,6557,1501,1774,3323,4.5,739
